count;phrase;candidates
27;Германии;
16;Германией;
14;Финляндии;
11;германских;
11;германскими;
8;младохивинцев;
8;Австро-Венгрии;
7;Германию;
7;Германия;
7;германские;
6;японских;
6;Грузии;
6;Османской империи;
6;младобухарцев;
5;британских;
5;Латвии;
5;Францию;
5;Турции;
5;Османской империей;
5;красных партизан;
4;японские;
4;Великобритании;
4;Азербайджанской;
4;Румынии;
4;немецких;
4;Австро-Венгрией;
4;Закавказского комиссариата;
4;германского;
3;американских;
3;французских;
3;Финляндию;
3;Крымского краевого правительства;
3;Турция;
3;Армянской;
3;младохивинец;
3;Приамурского Земского Края;
3;польские;
3;младобухарцами;
3;британскими;
3;Франции;
2;Ибрагим‑бек;
2;Советской Белоруссии;
2;Карлис Улманис;
2;Японией;
2;П. Н.;
2;Япония;
2;японское;
2;польских;
2;финских;
2;французскому;
2;Великобританией;
2;Закавказская Социалистическая Федеративная Советская Республика – ЗСФСР;
2;Армянская;
2;Азербайджанская;
2;Грузинской Советских Республик;
2;австро-германских;
2;(ВСЮР);
2;К. Г. Маннергейм;
2;немецкие;
2;польской;
2;английской;
2;Области Войска Донского;
2;германской;
2;британские;
2;британский;
2;Османская империя;
2;турецких;
2;(ЗДФР);
2;младохивинцы;
2;младохивинцам;
2;Франция;
2;К. Г. Маннергейма;
2;британской;
2;интервентов;
2;В. И.;
2;Англии;
2;германским;
2;А. Ф.;
2;японской;
2;Финляндией;
2;А. В.;
2;Северо-Западного правительства;
2;Австро-Венгрия;
2;ПЛСР;
2;Литовско-Белорусской Советской Социалистической Республики (Литбел);
2;японцами;
2;Туркестанской (Кокандской) автономии;
2;Молдавской Демократической Республики;
2;Кубанский Край;
2;Константином Пятсом;
2;Донской Советской Республики;
2;польскими;
2;Тамбовского восстания;
1;Конституционно‑демократической партии;
1;Башкирской автономией;
1;Б. В. Анненкова;
1;. П. Богаевский;
1;Махновщина;
1;Ибрагим‑беком;
1;левоэсеровских;
1;Временное правительство Северной области;
1;социалистов‑революционеров;
1;социалистами‑революционерами;
1;меньшевистской партии;
1;Туркестанской Автономной Социалистической Советской Республике (ТАССР),;
1;Западно‑Сибирское;
1;Тамбовское;
1;Н. Д. Авксентьев, В. М. Зензинов, В. М. Чернов;
1;Украинская коммунистическая партия (боротьбистов);
1;Северо-Кавказская ССР;
1;Одесская Республика;
1;Азербайджанской Советской Социалистической Республики;
1;кадетской партии;
1;Временное областное правительство Урала, Временное Сибирское правительство,;
1;Маннергейма;
1;Комитете освобождения Черноморья;
1;зелёным движением;
1;иностранной интервенции;
1;Украинской партии социалистов-революционеров (УПСР);
1;Кубанской Народной Республикой;
1;Вооруженными силами Юга России (ВСЮР;
1;ВСЮР А. И. Деникине;
1;П. Н. Врангеля Францией;
1;США;
1;красным партизанским движением;
1;Российского Государства А. В. Колчака;
1;японцы;
1;красного партизанского движения;
1;Вооруженными силами Юга России (ВСЮР) А. И. Деникин;
1;ВСЮР А. И. Деникину;
1;итальянских;
1;австрийские;
1;Комитета членов Учредительного собрания (Комуча) эсера;
1;РКП(б;
1;Литве;
1;Армению;
1;Азербайджану;
1;левых социалистов-революционеров;
1;партия;снято вручную: слишком общая фраза
1;под руководством А. С. Антонова;
1;Западно-Сибирское;
1;Добровольческой армии А. И. Деникина;
1;Армянской Советских Республик;
1;Закавказскую Социалистическую Федеративную Советскую Республику (ЗСФСР);
1;Донецко-Криворожской;
1;Румыния;
1;австро-германские;
1;(СДПФ);
1;Российского Государства А. В.;
1;Японии;
1;немецкой;
1;финляндских;
1;немецко-австрийских;
1;германская;
1;Закавказской Советской Федеративной Социалистической Республики (ЗСФСР;
1;Российской Советской Федеративной Советской Республики (РСФСР);
1;грузинские;
1;турецкой;
1;британская;
1;англичане;
1;английскому;
1;Социалистических Советских Республик;
1;австрийско-германские;
1;К. Пятса;
1;Латвийской Республики К. Улманиса;
1;Карлисом Улманисом;
1;Советскую Латвию;
1;Латышский крестьянский союз Улманис;
1;Юзеф Пилсудский;
1;польская;
1;Н. С.;
1;грузинского меньшевика Н. С. Чхеидзе;
1;турецкие;
1;английская;
1;Великобритания;
1;турецкая;
1;Английская;
1;Грузия;
1;младобухарцы;
1;Маннергейму;
1;Юзефу Пилсудскому;
1;эсера Н. Д. Авксентьева;
1;англичан;
1;Вооруженными силами Юга России (ВСЮР) А. И.;
1;французскими;
1;японскими;
1;американскими;
1;эсеро-меньшевистской;
1;Оренбургского;
1;Уральского;
1;народный социалист Н. В. Чайковский;
1;эсер В. М. Зензинов;
1;Н. Д.;
1;Временного правительства Дальнего Востока;
1;Российскую коммунистическую партию (большевиков) – РКП(б).;
1;партии «Алаш»;
1;областниками;
1;(Алашской автономии);
1;Кубанская народная республика;
1;Кубанской народной республики;
1;Российском правительстве А. В. Колчака;
1;германо-австрийских;
1;П. П. Скоропадского и Украинской державы;
1;австро-германских войск;
1;украинскими социалистами-революционерами (боротьбистами);
1;немецких солдат;
1;французским;
1;Н. И.;
1;французскими военными;
1;Добровольческой;
1;Земского края;
1;ВСЮР).;
1;турецкого;
1;английского;
1;Донского казачьего войска;
1;Бухаре;
1;восстания А. С. Антонова;
1;восстаниями против власти Колчака;
1;германских войск;
1;Северо-Западной армией;
1;А. Ф. Керенского и П. Н. Краснова.;
1;финские социал-демократы;
1;украинских социалистов-революционеров;
1;Лениным, Л. Д. Троцким, Я. М. Свердловым;
1;германских и австро-венгерских;
1;Советской Социалистической Республики Белоруссия (ССРБ);
1;Закавказской Социалистической Федеративной Советской Республики (ЗСФСР).;
