id;camp;source;people_data_js;first_regalia;red;white;rev-dem;national;green
boldyrev;;;;Военный и государственный деятель в антибольшевистских правительствах Сибири и Д;6;0;24;18;0
gegechkori;;;;Социал-демократ, меньшевик;0;0;39;36;0
ibragim-bek;green;regalia;;Лидер басмаческого движения;0;0;0;6;36
makhno;green;regalia;;Лидер анархического движения на юге Украины;19;0;0;0;30
bukeykhanov;national;regalia;;Член ЦК Конституционно-демократической партии;0;0;0;27;0
bych;national;regalia;;Первый председатель правительства Кубанской народной республики;0;0;3;30;0
grigorev;national;regalia;;Военачальник Украинской Народной Республики;18;0;0;30;9
karl-gustav-emil;national;regalia;;Главнокомандующий армии и регент Королевства Финляндия;0;3;0;30;0
khodzhaev;national;regalia;;Лидер движения младобухарцев;6;0;0;54;0
petlyura;national;regalia;;Один из лидеров Украинской социал-демократической рабочей партии;0;0;0;36;0
pilsudski;national;regalia;;Начальник Государства Польского;0;0;0;30;0
pyats;national;regalia;;Премьер-министр Эстонии;0;0;0;30;0
skoropadskiy;national;regalia;;Гетман Украинской державы;0;0;0;60;0
ulmanis;national;regalia;;Лидер Латышского крестьянского союза;0;0;0;48;0
anvelt;red;regalia;;Лидер эстонских большевиков;42;0;0;6;0
blyukher;red;regalia;;Военачальник Рабоче-крестьянской Красной армии (РККА);78;0;0;0;0
budyonny;red;regalia;;Военачальник Рабоче-крестьянской Красной армии (РККА);78;0;0;0;0
dzerzhinskiy;red;regalia;;Член ЦК партии большевиков;75;0;0;0;0
egorov;red;regalia;;Военачальник, один из организаторов Рабоче-крестьянской Красной армии (РККА);78;0;48;0;0
frunze;red;regalia;;Военачальник Рабоче-крестьянской Красной армии (РККА), командующий Восточным, Ту;114;0;0;0;0
kamenev;red;regalia;;Военачальник Рабоче-крестьянской Красной армии;51;0;0;0;0
lenin;red;regalia;;Лидер партии большевиков;63;0;0;0;0
myasnikov;red;regalia;;Председатель ЦИК Советской Социалистической Республики Белоруссия;15;0;0;0;0
ordzhonikidze;red;regalia;;Член ЦК партии большевиков;123;0;0;0;0
petrovskiy;red;regalia;;Член ЦК партии большевиков;51;0;0;0;0
poluyan;red;regalia;;Председатель Совета народных комиссаров Кубано-Черноморской Советской Республики;63;0;0;0;0
schetinkin;red;regalia;;19;6;0;0;0;0
stalin;red;regalia;;Один из лидеров партии большевиков;75;0;0;0;0
stuchka;red;regalia;;Народный комиссар юстиции РСФСР, заместитель народного комиссара иностранных дел;40;0;0;0;0
sverdlov;red;regalia;;Один из лидеров партии большевиков;60;0;0;0;0
trotsky;red;regalia;;Один из лидеров партии большевиков, председатель Петроградского совета рабочих и;60;0;6;0;0
tukhachevsky;red;regalia;;Военачальник Рабоче-крестьянской Красной армии;48;0;0;0;0
uborevich;red;regalia;;Военачальник Рабоче-крестьянской Красной армии (РККА);75;0;0;0;0
uritskiy;red;regalia;;Член партии большевиков;39;0;6;0;0
vatsetis;red;regalia;;Советский военачальник, Первый Главнокомандующий всеми Вооруженными Силами Респу;63;0;0;3;0
voroshilov;red;regalia;;Военачальник Рабоче-крестьянской Красной армии (РККА);75;0;0;0;0
zinovev;red;regalia;;Один из лидеров партии большевиков;36;0;0;0;0
avksentiev;rev-dem;regalia;;Один из лидеров Партии социалистов-революционеров;0;0;60;18;0
chaykovskiy;rev-dem;regalia;;Председатель Временного правительства Северной области;0;0;59;18;0
chernov;rev-dem;regalia;;Лидер партии социалистов-революционеров;0;0;45;0;0
chkheidze;rev-dem;regalia;;Лидер партии меньшевиков;0;0;42;18;0
derber;rev-dem;regalia;;Член Партии социалистов-революционеров;0;0;51;0;0
