year;row;raw;from;to;precision;style;status
1917;1;24–26 октября;1917-10-24;1917-10-26;day;single;ok
1917;2;25–27 октября;1917-10-25;1917-10-27;day;single;ok
1917;3;25–26 октября;1917-10-25;1917-10-26;day;single;ok
1917;4;25 октября – 2 ноября;1917-10-25;1917-11-02;day;single;ok
1917;5;Конец октября – начало ноября;1917-10-21;1917-11-10;decade;single;порядок: дата раньше предыдущей (неточная дата — так у заказчика)
1917;6;26 октября;1917-10-26;1917-10-26;day;single;ok
1917;7;26–1 ноября;1917-10-26;1917-11-01;day;single;ok
1917;8;27 октября;1917-10-27;1917-10-27;day;single;ok
1917;9;29 октября;1917-10-29;1917-10-29;day;single;ok
1917;10;Ноябрь;1917-11-01;1917-11-30;month;single;ok
1917;11;2 ноября;1917-11-02;1917-11-02;day;single;ok
1917;12;7 ноября;1917-11-07;1917-11-07;day;single;ok
1917;13;7 ноября;1917-11-07;1917-11-07;day;single;ok
1917;14;12 ноября;1917-11-12;1917-11-12;day;single;ok
1917;15;14 ноября;1917-11-14;1917-11-14;day;single;ok
1917;16;15 ноября;1917-11-15;1917-11-15;day;single;ok
1917;17;15 ноября;1917-11-15;1917-11-15;day;single;ok
1917;18;19–28 ноября;1917-11-19;1917-11-28;day;single;ok
1917;19;20 ноября;1917-11-20;1917-11-20;day;single;ok
1917;20;23 ноября;1917-11-23;1917-11-23;day;single;ok
1917;21;23 ноября (6 декабря);1917-11-23;1917-11-23;day;dual;ok
1917;22;27 ноября;1917-11-27;1917-11-27;day;single;ok
1917;23;28 ноября;1917-11-28;1917-11-28;day;single;ok
1917;24;Декабрь;1917-12-01;1917-12-31;month;single;ok
1917;25;Начало декабря;1917-12-01;1917-12-10;decade;single;ok
1917;26;2 декабря;1917-12-02;1917-12-02;day;single;ok
1917;27;2 декабря;1917-12-02;1917-12-02;day;single;ok
1917;28;4 декабря;1917-12-04;1917-12-04;day;single;ok
1917;29;5–13 декабря;1917-12-05;1917-12-13;day;single;ok
1917;30;7 декабря;1917-12-07;1917-12-07;day;single;ok
1917;31;11 декабря;1917-12-11;1917-12-11;day;single;ok
1917;32;14 декабря;1917-12-14;1917-12-14;day;single;ok
1917;33;18(31) декабря;1917-12-18;1917-12-18;day;dual;ok
1917;34;18 декабря;1917-12-18;1917-12-18;day;single;ok
1917;35;25 декабря;1917-12-25;1917-12-25;day;single;ok
1918;1;Январь;1918-01-01;1918-01-31;month;single;ok
1918;2;1 января;1918-01-01;1918-01-01;day;single;ok
1918;3;3 января;1918-01-03;1918-01-03;day;single;ok
1918;4;5–6 января;1918-01-05;1918-01-06;day;single;ok
1918;5;7 января;1918-01-07;1918-01-07;day;single;ok
1918;6;9 января;1918-01-09;1918-01-09;day;single;ok
1918;7;9–12 января;1918-01-09;1918-01-12;day;single;ok
1918;8;10–18 января;1918-01-10;1918-01-18;day;single;ok
1918;9;12 января;1918-01-12;1918-01-12;day;single;ok
